#ID,03A,03B,03C,04A,04B,04C,05A,05B,05C,06A,06B,06C,07A,07B,07C,08A,08B,08C,09A,09B,09C,10A,10B,10C,11A,11B,11C,12A,12B,12C,13A,13B,13C,14A,14B,14C,Asum
D_0__Bacteria;D_1__Latescibacteria;__,271,47,0,0,0,0,101,17,59,26,0,0,0,0,19,0,0,0,55,8,6,57,31,0,0,0,0,645,122,0,0,0,0,840,65,17,2386
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria,484,0,3,11,0,0,46,0,90,13,0,12,75,44,37,334,109,0,26,10,2,60,11,11,0,10,0,347,37,48,35,34,136,73,25,138,2261
D_0__Bacteria;D_1__WOR-1;D_2__uncultured bacterium,111,133,0,6,9,0,470,46,684,54,21,23,62,0,4,0,0,0,55,39,0,64,36,5,0,0,0,59,60,0,0,0,0,169,47,0,2157
D_0__Bacteria;D_1__Chloroflexi;D_2__JG30-KF-CM66,244,132,0,43,15,0,574,34,267,11,0,14,49,23,0,0,21,0,59,8,0,8,0,0,16,23,0,115,30,0,8,41,27,139,14,0,1915
D_0__Bacteria;D_1__Planctomycetes;D_2__vadinHA49,57,532,294,21,9,0,44,61,279,0,5,82,0,0,50,0,195,71,0,32,4,0,0,16,0,18,0,0,0,95,0,0,0,0,0,0,1865
D_0__Bacteria;D_1__Cyanobacteria;D_2__Sericytochromatia,3,87,0,0,12,0,94,37,136,0,0,0,0,0,39,0,28,0,0,7,0,0,0,0,0,34,0,0,22,0,0,0,0,0,988,259,1746
D_0__Bacteria;D_1__Dadabacteria;D_2__Dadabacteriia,58,80,7,9,9,0,134,20,195,0,0,0,206,27,46,97,15,0,16,3,11,0,16,21,0,0,0,0,39,316,30,64,106,132,8,54,1719
D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae,165,0,0,57,0,0,378,3,317,123,0,3,143,14,30,0,17,38,33,6,0,96,13,9,62,13,0,43,18,0,105,0,0,14,0,0,1700
D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae,42,25,9,0,0,0,141,17,258,15,0,12,17,0,24,37,9,0,11,0,0,0,6,6,22,0,0,211,5,15,13,0,20,141,0,519,1575
D_0__Archaea;D_1__Diapherotrites;D_2__Iainarchaeia,312,123,0,0,0,0,214,26,337,143,3,25,12,0,5,59,0,0,19,0,4,26,6,0,0,0,0,89,100,0,0,0,0,33,24,0,1560
D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia,242,0,0,0,0,0,342,9,153,0,0,0,22,6,224,21,5,0,84,30,0,0,0,0,0,0,0,64,51,0,0,0,20,31,37,171,1512
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 21,55,21,16,28,13,0,461,30,112,91,0,0,157,24,0,0,0,0,18,17,0,17,0,0,0,26,0,69,49,0,41,48,0,108,3,0,1404
D_0__Bacteria;D_1__Nitrospirae;D_2__4-29-1,296,54,0,11,0,0,260,0,0,74,0,7,7,0,94,0,11,0,28,0,0,0,2,0,0,0,0,198,139,0,39,0,50,70,0,0,1340
D_0__Bacteria;D_1__WOR-1;__,227,103,0,0,0,0,278,0,69,0,7,0,0,0,7,0,0,0,24,13,0,6,19,0,0,0,0,383,78,0,0,0,46,70,0,0,1330
D_0__Bacteria;D_1__Planctomycetes;D_2__OM190,140,40,7,0,0,0,134,34,492,0,6,41,11,50,21,52,19,0,17,24,18,0,7,0,7,0,0,10,24,35,29,0,0,0,0,0,1218
D_0__Bacteria;D_1__Planctomycetes;D_2__Brocadiae,153,25,14,0,2,0,167,32,229,41,0,82,0,0,24,114,0,22,26,0,0,0,0,13,0,0,0,20,47,83,0,0,0,53,26,0,1173
D_0__Bacteria;D_1__Calditrichaeota;D_2__Calditrichia,116,39,0,0,12,0,9,200,556,0,0,0,0,0,44,0,0,0,0,14,0,0,0,0,132,0,0,0,11,0,0,0,0,0,0,0,1133
D_0__Bacteria;D_1__Chlamydiae;D_2__LD1-PA32,75,0,0,0,0,0,383,23,249,79,0,0,28,0,0,64,0,0,45,0,0,0,0,0,0,8,0,14,118,12,27,0,0,0,0,0,1125
D_0__Bacteria;D_1__Elusimicrobia;D_2__Lineage IIc,101,0,0,0,5,0,302,16,202,64,0,45,17,19,4,0,0,0,60,16,0,0,0,0,17,0,0,80,9,0,0,0,0,154,0,0,1111
